clean_id,noise_id,category,snr_db,seed,output_path,clean_ref_path,subtype,duration_sec,achieved_snr_db,snr_dev_db,norm_factor,rir_rt60_sec,clip_frac
2277-149896-0033.flac,4dde8c51-f8a3-45ce-9822-819d696ae966_chan3_v0.wav,impulsive,-5.0,262,data/mixtures\mix_impulsive_gunshot_-5dB_0220.wav,data/mixtures\clean_ref_impulsive_gunshot_-5dB_0220.wav,gunshot,2.845,-5.0,0.0,0.775862,0.0,1.0
2035-147960-0010.flac,03fc4685-909e-42c5-aff0-f519f1d14b12_chan2_v0.wav,impulsive,-5.0,260,data/mixtures\mix_impulsive_artillery_-5dB_0218.wav,data/mixtures\clean_ref_impulsive_artillery_-5dB_0218.wav,artillery,9.585,-5.0,0.0,0.138548,0.0,1.0
2277-149897-0010.flac,03fc4685-909e-42c5-aff0-f519f1d14b12_chan6_v0.wav,impulsive,-5.0,249,data/mixtures\mix_impulsive_artillery_-5dB_0207.wav,data/mixtures\clean_ref_impulsive_artillery_-5dB_0207.wav,artillery,3.625,-5.0,0.0,0.188783,0.0,1.0
2277-149896-0002.flac,3-251617-A-48.wav,impulsive,-5.0,257,data/mixtures\mix_impulsive_explosion_-5dB_0215.wav,data/mixtures\clean_ref_impulsive_explosion_-5dB_0215.wav,explosion,4.835,-5.0,0.0,0.45304,0.0,1.0
2277-149896-0014.flac,c50ad68f-1fca-41f9-8fad-83e9b51c3504_v1.wav,impulsive,0.0,273,data/mixtures\mix_impulsive_gunshot_0dB_0231.wav,data/mixtures\clean_ref_impulsive_gunshot_0dB_0231.wav,gunshot,4.07,0.0,0.0,1.0,0.0,1.0
2035-152373-0013.flac,090f69a9-885c-45fb-a807-f2661aaeb165_chan1_v1.wav,impulsive,0.0,274,data/mixtures\mix_impulsive_artillery_0dB_0232.wav,data/mixtures\clean_ref_impulsive_artillery_0dB_0232.wav,artillery,20.47,-0.0,0.0,0.373848,0.0,1.0
2277-149896-0028.flac,1-115546-A-48.wav,impulsive,0.0,280,data/mixtures\mix_impulsive_explosion_0dB_0238.wav,data/mixtures\clean_ref_impulsive_explosion_0dB_0238.wav,explosion,2.9,0.0,0.0,0.893959,0.0,1.0
2277-149897-0024.flac,04f1be04-da3e-4f7d-b4fc-6b64f208cc94_v2.wav,impulsive,0.0,269,data/mixtures\mix_impulsive_artillery_0dB_0227.wav,data/mixtures\clean_ref_impulsive_artillery_0dB_0227.wav,artillery,2.935,-0.0,0.0,1.0,0.0,1.0
2035-147960-0005.flac,d44f6f66-430a-4f34-8a50-dde6403d0239_v0.wav,impulsive,5.0,284,data/mixtures\mix_impulsive_gunshot_5dB_0242.wav,data/mixtures\clean_ref_impulsive_gunshot_5dB_0242.wav,gunshot,6.585,5.0,0.0,1.0,0.0,1.0
2277-149897-0036.flac,4-119647-A-48.wav,impulsive,5.0,286,data/mixtures\mix_impulsive_explosion_5dB_0244.wav,data/mixtures\clean_ref_impulsive_explosion_5dB_0244.wav,explosion,4.42,5.0,0.0,0.593795,0.0,1.0
