clean_id,noise_id,category,snr_db,seed,output_path,clean_ref_path,subtype,duration_sec,achieved_snr_db,snr_dev_db,norm_factor,rir_rt60_sec,clip_frac
2277-149896-0025.flac,5-243773-A-44.wav,stationary,-5.0,47,data/mixtures\mix_stationary_engine_-5dB_0005.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0005.wav,engine,3.4,-5.0,0.0,1.0,0.0,1.0
2035-147961-0027.flac,3-119455-A-44.wav,stationary,-5.0,43,data/mixtures\mix_stationary_engine_-5dB_0001.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0001.wav,engine,2.875,-5.0,0.0,1.0,0.0,1.0
2277-149897-0031.flac,4-195451-A-44.wav,stationary,-5.0,57,data/mixtures\mix_stationary_engine_-5dB_0015.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0015.wav,engine,4.405,-5.0,0.0,1.0,0.0,1.0
2035-152373-0014.flac,3-141240-A-44.wav,stationary,-5.0,56,data/mixtures\mix_stationary_engine_-5dB_0014.wav,data/mixtures\clean_ref_stationary_engine_-5dB_0014.wav,engine,7.35,-5.0,0.0,0.885203,0.0,1.0
2277-149897-0001.flac,3-115382-A-44.wav,stationary,0.0,64,data/mixtures\mix_stationary_vehicle_0dB_0022.wav,data/mixtures\clean_ref_stationary_vehicle_0dB_0022.wav,vehicle,2.755,-0.0,0.0,1.0,0.0,1.0
2035-147961-0006.flac,3-154758-A-44.wav,stationary,0.0,73,data/mixtures\mix_stationary_engine_0dB_0031.wav,data/mixtures\clean_ref_stationary_engine_0dB_0031.wav,engine,2.795,0.0,0.0,1.0,0.0,1.0
2277-149896-0005.flac,3-115382-A-44.wav,stationary,0.0,72,data/mixtures\mix_stationary_engine_0dB_0030.wav,data/mixtures\clean_ref_stationary_engine_0dB_0030.wav,engine,5.6,0.0,0.0,1.0,0.0,1.0
2035-147960-0009.flac,2-106015-B-44.wav,stationary,0.0,70,data/mixtures\mix_stationary_engine_0dB_0028.wav,data/mixtures\clean_ref_stationary_engine_0dB_0028.wav,engine,3.5,-0.0,0.0,1.0,0.0,1.0
2277-149896-0032.flac,1-50454-A-44.wav,stationary,5.0,98,data/mixtures\mix_stationary_vehicle_5dB_0056.wav,data/mixtures\clean_ref_stationary_vehicle_5dB_0056.wav,vehicle,10.77,5.0,0.0,1.0,0.0,1.0
2035-147960-0007.flac,1-18527-A-44.wav,stationary,5.0,87,data/mixtures\mix_stationary_vehicle_5dB_0045.wav,data/mixtures\clean_ref_stationary_vehicle_5dB_0045.wav,vehicle,4.6,5.0,0.0,1.0,0.0,1.0
2277-149896-0024.flac,3-146186-A-44.wav,stationary,5.0,89,data/mixtures\mix_stationary_engine_5dB_0047.wav,data/mixtures\clean_ref_stationary_engine_5dB_0047.wav,engine,4.5,5.0,0.0,1.0,0.0,1.0
2035-152373-0012.flac,3-119455-A-44.wav,stationary,5.0,88,data/mixtures\mix_stationary_engine_5dB_0046.wav,data/mixtures\clean_ref_stationary_engine_5dB_0046.wav,engine,10.23,5.0,0.0,1.0,0.0,1.0
2035-147960-0005.flac,2-107228-B-44.wav,stationary,10.0,105,data/mixtures\mix_stationary_engine_10dB_0063.wav,data/mixtures\clean_ref_stationary_engine_10dB_0063.wav,engine,6.585,10.0,0.0,1.0,0.0,1.0
2277-149874-0015.flac,4-195451-A-44.wav,stationary,10.0,114,data/mixtures\mix_stationary_engine_10dB_0072.wav,data/mixtures\clean_ref_stationary_engine_10dB_0072.wav,engine,4.73,10.0,0.0,1.0,0.0,1.0
2277-149897-0032.flac,3-146186-A-44.wav,stationary,10.0,115,data/mixtures\mix_stationary_engine_10dB_0073.wav,data/mixtures\clean_ref_stationary_engine_10dB_0073.wav,engine,8.69,10.0,0.0,1.0,0.0,1.0
2277-149897-0036.flac,4-186962-A-44.wav,stationary,10.0,113,data/mixtures\mix_stationary_vehicle_10dB_0071.wav,data/mixtures\clean_ref_stationary_vehicle_10dB_0071.wav,vehicle,4.42,10.0,0.0,1.0,0.0,1.0
2035-147960-0007.flac,2-106486-A-44.wav,stationary,15.0,142,data/mixtures\mix_stationary_vehicle_15dB_0100.wav,data/mixtures\clean_ref_stationary_vehicle_15dB_0100.wav,vehicle,4.6,15.0,0.0,1.0,0.0,1.0
2277-149897-0018.flac,5-243773-B-44.wav,stationary,15.0,123,data/mixtures\mix_stationary_engine_15dB_0081.wav,data/mixtures\clean_ref_stationary_engine_15dB_0081.wav,engine,6.745,15.0,0.0,1.0,0.0,1.0
2277-149896-0020.flac,3-141240-A-44.wav,stationary,15.0,139,data/mixtures\mix_stationary_vehicle_15dB_0097.wav,data/mixtures\clean_ref_stationary_vehicle_15dB_0097.wav,vehicle,5.285,15.0,0.0,1.0,0.0,1.0
2277-149896-0032.flac,4-186938-A-44.wav,stationary,15.0,137,data/mixtures\mix_stationary_engine_15dB_0095.wav,data/mixtures\clean_ref_stationary_engine_15dB_0095.wav,engine,10.77,15.0,0.0,1.0,0.0,1.0
