category,method,sample_count,pesq_wb_mean,pesq_wb_std,pesq_wb_status,stoi_mean,stoi_std,si_snr_mean,si_snr_std,delta_si_snr_mean,delta_si_snr_std
impulsive,deepfilternet,100,2.4916,0.5907,100/100 Valid,0.9196,0.0687,15.195,4.7779,10.1919,4.6705
impulsive,nlms,100,1.3198,0.1627,100/100 Valid,0.8327,0.0716,1.7066,7.0013,-3.2965,10.3802
impulsive,noisy,100,1.5523,0.5238,100/100 Valid,0.8307,0.1143,5.0031,7.1026,0.0,0.0
impulsive,spectral_subtraction,100,1.5679,0.5309,100/100 Valid,0.8322,0.1137,5.1971,7.0841,0.1941,0.3275
impulsive,wiener,100,1.5269,0.4805,100/100 Valid,0.8342,0.1117,5.4729,7.0618,0.4698,0.7847
non_stationary,deepfilternet,100,2.1303,0.7152,100/100 Valid,0.8297,0.1801,10.7485,8.23,5.7509,5.762
non_stationary,nlms,100,1.399,0.1747,100/100 Valid,0.8796,0.0356,7.8549,2.389,2.8573,7.3764
non_stationary,noisy,100,1.4047,0.3734,100/100 Valid,0.7846,0.1494,4.9976,7.1084,0.0,0.0
non_stationary,spectral_subtraction,100,1.4295,0.377,100/100 Valid,0.7862,0.1516,5.7579,7.2187,0.7604,0.7986
non_stationary,wiener,100,1.4519,0.3826,100/100 Valid,0.7905,0.1534,6.7612,7.3625,1.7636,1.817
stationary,deepfilternet,100,2.4823,0.6439,100/100 Valid,0.9169,0.0753,16.1387,5.2056,11.1011,4.0015
stationary,nlms,100,1.448,0.2287,100/100 Valid,0.901,0.0482,9.0113,3.9362,3.9737,7.8074
stationary,noisy,100,1.3801,0.3962,100/100 Valid,0.8198,0.135,5.0376,7.0736,0.0,0.0
stationary,spectral_subtraction,100,1.4185,0.4232,100/100 Valid,0.8225,0.1359,6.2881,7.2471,1.2506,1.06
stationary,wiener,100,1.4889,0.4603,100/100 Valid,0.8329,0.133,8.2707,7.4966,3.2332,2.4
